iter	Logloss
0	0.6815834734
1	0.6715174641
2	0.663099425
3	0.6550624777
4	0.6480527635
5	0.6420985585
6	0.6366593294
7	0.6318012096
8	0.6272797555
9	0.6231382335
10	0.6196552844
11	0.6161127398
12	0.6128527989
13	0.6096496719
14	0.6069105304
15	0.6041096991
16	0.6018791576
17	0.5992036623
18	0.5972818936
19	0.5951808519
20	0.5934177984
21	0.5916693141
22	0.5900610831
23	0.5881222945
24	0.586636339
25	0.58493901
26	0.5837650469
27	0.5825106748
28	0.5809594021
29	0.5795350445
30	0.5785031645
31	0.5772925409
32	0.5763287374
33	0.5751019461
34	0.5742404208
35	0.5731478141
36	0.5721340161
37	0.5709172048
38	0.5699850092
39	0.568932978
40	0.5678099632
41	0.5670338206
42	0.5660619033
43	0.5654553449
44	0.5647346546
45	0.5638119716
46	0.5632109888
47	0.5625071823
48	0.5617132455
49	0.5611424305
50	0.5605724081
51	0.5599850222
52	0.5592285286
53	0.5586536618
54	0.5578315887
55	0.5573338646
56	0.5567054365
57	0.5562590924
58	0.555532803
59	0.5549072778
60	0.5541302958
61	0.5536235505
62	0.5530366897
63	0.5524530349
64	0.5519146964
65	0.5513085811
66	0.5507617626
67	0.5503726577
68	0.5499134461
69	0.5493343379
70	0.5488967411
71	0.5483467532
72	0.5474794644
73	0.5468908062
74	0.5464570019
75	0.545973813
76	0.5454737527
77	0.5450604872
78	0.5446842053
79	0.5441418466
80	0.543682185
81	0.5431078861
82	0.5426743457
83	0.5422895724
84	0.5416970881
85	0.5412896078
86	0.5409248782
87	0.540550813
88	0.5402012486
89	0.5397574301
90	0.5394021339
91	0.538682388
92	0.5382957036
93	0.5379503504
94	0.5375838922
95	0.5371457058
96	0.5368642879
97	0.5364605338
98	0.5359292432
99	0.5355258426
