iter	Passed	Remaining
0	75	7497
1	135	6627
2	193	6251
3	248	5954
4	304	5789
5	360	5652
6	415	5520
7	473	5446
8	537	5430
9	591	5325
10	649	5251
11	707	5184
12	777	5204
13	839	5155
14	895	5076
15	954	5011
16	1018	4972
17	1079	4915
18	1136	4844
19	1196	4787
20	1266	4764
21	1319	4679
22	1376	4606
23	1447	4582
24	1508	4526
25	1567	4462
26	1631	4410
27	1686	4336
28	1747	4277
29	1811	4225
30	1869	4160
31	1933	4108
32	2000	4060
33	2058	3995
34	2113	3925
35	2174	3866
36	2232	3801
37	2291	3738
38	2351	3677
39	2415	3623
40	2470	3554
41	2528	3492
42	2594	3439
43	2651	3374
44	2713	3316
45	2772	3254
46	2832	3194
47	2890	3131
48	2947	3067
49	3000	3000
50	3062	2942
51	3121	2881
52	3177	2817
53	3234	2755
54	3296	2697
55	3357	2638
56	3417	2578
57	3475	2516
58	3538	2458
59	3591	2394
60	3651	2334
61	3712	2275
62	3772	2215
63	3833	2156
64	3892	2096
65	3956	2038
66	4011	1976
67	4065	1913
68	4122	1852
69	4180	1791
70	4235	1730
71	4291	1668
72	4357	1611
73	4414	1550
74	4472	1490
75	4531	1430
76	4599	1373
77	4664	1315
78	4724	1255
79	4781	1195
80	4839	1135
81	4902	1076
82	4958	1015
83	5017	955
84	5081	896
85	5138	836
86	5196	776
87	5258	717
88	5315	656
89	5369	596
90	5425	536
91	5483	476
92	5544	417
93	5597	357
94	5654	297
95	5719	238
96	5775	178
97	5828	118
98	5885	59
99	5948	0
